"!Template name","LANG_SE","LANG_EN"
"_legalPageH1","JURIDIK","LEGAL"
"_legalPageH2ProofH31Body6","<li>Vi begränsar antalet individer med tillgång till systemets
 kärna. Endast vår tekniska chef och ytterligare två utvalda
 tekniker har tillgång till att göra ändringar i våra servrar.
 Därmed kan endast ändringar genomföras av en begränsad och väl
 definierad grupp individer.</li>	<li>Samtliga anställda får
 underteckna strikta avtal som reglerar vad som är tillåtet inom
 ramarna för arbetsplatsen och samtliga anställda synas grundligt
 innan de kan få anställning på SkrivaPå.</li>	<li>Systemet loggar
 all aktivitet på våra servrar. Vi registrerar samtliga ändringar,
 när de utförts och av vem. Därmed finns alltid full spårbarhet
 av ändringar genomförda i systemet.</li>","<li>We limit the number of individuals with access to the core
 of the system. Only our CTO and another two carefully selected
 technicians has access to make changes in our servers. Thereby,
 changes can only be made by a small, and carefully selected
 group of individuals.</li>	<li>All employees has to sign strict
 contracts regulating what is allowed within the context of the
 work, and all employees are examined thoroughly before being
 employed at Scrive.</li>	<li>The system logs all activity on
 our servers. We register all changes, when they occur, and
 who preforms them. Thereby, all changes in the system are traceable.</li>"
"_legalPageH2ProofH32","Bevissäkring","Securing evidence"
"_legalPageH2ProofH32Body1","Bevis måste inte bara genereras på rätt sätt utan även lagras
 på rätt sätt för att förhindra förvanskning och för att bibehålla
 trovärdigheten hos bevismaterialet vid eventuell domstolsprövning.
 För att säkra vårt genererade bevismaterial skapar vi en så
 kallad ”hasch” av det (en kod som är unik för varje existerande
 datastruktur) och stämplar haschen med en kvalificerad signatur.
 Detta garanterar att bevismaterialet är kvalitetssäkrat och
 inte kan ändras. Dessutom tar vi säkerheten i bevissäkringen
 ytterligare ett steg. Efter att ha stämplat materialet lagrar
 vi det i säkerhetsklassade datahallar som inte tillåter att
 material tas ut, förvanskas och stoppas in igen. Följande material
 lagras på detta sätt:","Evidence does not only have to be generated in the right way,
 but also be stored in a good way to prevent distortion and to
 maintain the credibility of the evidence in a possible court
 trial. To secure our evidence, we create a so-called ""hasch""
 from it, and stamp the hasch with a qualified signature. This
 guarantees that the evidence is qualitatively secured, and cannot
 be changed. Moreover, we take the security of evidence storage
 even one step further. After being stamped, the material is
 stored in high-security classed computer centers that does not
 allow material to be extracted, distorted and put back in again.
 The following types of material is stored in the way described
 above:"
"_legalPageH2ProofH32Body2","<li>Valda delar av våra loggar (dagligen)</li>	<li>Vår tjänst,
 själva mjukvarumaskinen som genererar de undertecknade dokumenten
 (efter varje systemuppdatering)</li>	<li>Vår tjänst, hur den
 ser ut för användaren när den undertecknar dokumenten (efter
 varje systemuppdatering)</li>	<li>Samtligavåratestdokument (efter
 varje systemuppdatering)</li>","<li>Selected parts of our logs (daily)</li>	<li>Our service,
 the software itself that generates the signed documents (after
 each system update)</li>	<li>Our service, how it looks from
 the user's point of view when he signs a document (after each
 system update)</li>	<li>All of our test documents (after each
 system update)</li>"
"_legalPageH2SignProcess","Dokumentsigneringsprocess","Document signing process"
"_legalPageH2SignProcessH31","Användargränssnitt","User interface"
"_legalPageH2SignProcessH31Body1","En förutsättning, enligt svensk lagstiftning, för att en signatur
 ska anses giltig är att undertecknande part förstår vad den
 undertecknar och att den undertecknar. Är detta inte fallet
 kan avtalet betraktas som ogiltigt i en domstolsprövning. Vi
 har utvecklat vår process i följande steg för att säkerställa
 att samtliga parter ska vara införstådda med att de signerar
 och vad de signerar:","A condition, according to Swedish law, for a signature to be
 valid is that the signing party understands what is signed.
 If this is not the case, the contract should be considered invalid
 in a court trial. We have developed our process in the following
 steps to ensure that all parties involved understand that they
 are signing, and what they are signing:"
"_legalPageH2SignProcessH31Body2Table1","		<td>1</td>		<td>Avsändare</td>		<td>Avsändaren skapar ett konto
 online på tjänsten SkrivaPå, kommunicerar med en person som
 bjuder in till ett konto eller skapar ett konto i slutsteget
 då den har varit mottagande part i ett dokument skickat genom
 SkrivaPå. Avsändaren antas här ha blivit införstådd i tjänsten.</td>	","		<td>1</td>		<td>Sender</td>		<td>The sender creates an account
 online in Scrive, communicates with another user who invites
 to an account, or creates an account in the last step of a signing
 process through Scrive in which it was a signatory. The sender
 is assumed to understand the service.</td>	"
"_legalPageH2SignProcessH31Body2Table10","		<td>10</td>		<td>Mottagare</td>		<td>Då mottagaren tryckt på
 knappen ”Underteckna” visas ett pop-up- fönster där sändaren
 frågas om den verkligen är säker på att den vill underteckna
 dokumentet.</td>	","		<td>10</td>		<td>Recipient</td>		<td>When the recipient presses
 the button ""Sign"", a pop-up shows where the signatory is asked
 if it really wants to sign the document.</td>	"
"_legalPageH2SignProcessH31Body2Table11","		<td>11</td>		<td>Mottagare</td>		<td>Slutligen, då dokumentet
 är undertecknat visas en informationstext som konstaterar att
 mottagaren har undertecknat dokumentet.</td>	","		<td>11</td>		<td>Recipient</td>		<td>Finally, when the document
 has been signed, an informative text shows, telling the recipient
 that the document has been signed.</td>	"
"_legalPageH2SignProcessH31Body2Table12","		<td>12</td>		<td>Mottagare &amp; Avsändare</td>		<td>När samtliga
 parter undertecknat dokumentet stämplar SkrivaPå det med dokumentuppgifter
 och med en kvalificerad signatur. Sedan skickas ett e-postmeddelande
 innehållandes det färdiga dokumentet och information om att
 dokumentet slutligen undertecknats av samtliga parter och är
 juridiskt bindande till alla avtalsparter.</td>	","		<td>12</td>		<td>Recipient &amp; Sender</td>		<td>When all
 parties have signed the document, Scrive stamps it with the
 document information and a qualified signature. The document
 is then sent out to all involved parties by e-mail, telling
 them that the document has been signed, and that it is legally
 binding for all signatories.</td>	"
"_legalPageH2SignProcessH31Body2Table2","		<td>2</td>		<td>Avsändare</td>		<td>Avsändaren får ett mail
 med ett välkomstmeddelande innehållandes information om tjänsten
 och en verifieringslänk.</td>	","		<td>2</td>		<td>Sender</td>		<td>The sender recives an e-mail
 with a welcome message containing information about the service
 and an activation link.</td>	"
"_legalPageH2SignProcessH31Body2Table3","		<td>3</td>		<td>Avsändare</td>		<td>Efter att avsändaren klickat
 på länken fyller den i sina uppgifter på SkrivaPå, läser och
 accepterar användarvillkoren.</td>	","		<td>3</td>		<td>Sender</td>		<td>After clicking the link, the
 personal information is filled into Scrive, and the Terms Of
 Service are ridden and accepted.</td>	"
"_legalPageH2SignProcessH31Body2Table4","		<td>4</td>		<td>Avsändare</td>		<td>När avsändaren ska bjuda
 in en motpart följer den en trestegsprocess. Först laddar den
 upp ett dokument, sedan fyller den i inbjudna parters uppgifter
 och definierar fält i dokumentet som eventuellt ska fyllas i
 av mottagaren. I sista steget kan avsändaren underteckna dokumentet
 genom att klicka på knappen ”Underteckna”.</td>	","		<td>4</td>		<td>Sener</td>		<td>When the sender is inviting
 a counterparty, it follows a three step process. First, a document
 is uploaded. Second, information about the counterparty is
 filled in and fields are that the counterparty is supposed to
 fill in are defined. In the last step, the sender signs the
 document by clicking ""Sign"".</td>	"
"_legalPageH2SignProcessH31Body2Table5","		<td>5</td>		<td>Avsändare</td>		<td>Då avsändaren trycker på
 knappen ”Underteckna” visas ett pop-up-fönster där avsändaren
 frågas om den verkligen är säker på att den vill underteckna
 dokumentet. När den klickat ”Underteckna” skickas en inbjudan
 via e-post till definierade parter och avsändaren informeras
 att det undertecknade dokumentet nu undertecknats och skickats.
 </td>	","		<td>5</td>		<td>Sender</td>		<td>When the sender clicks the
 button ""Sign"", a pop-up shows where the sender is asked if it
 s really sure that it wants to sign the document. When ""Sign""
 is clicked, an invitation is sent by e-mail to the involved
 counterparties, and the sender is informed that the document
 has been signed and sent.</td>	"
"_legalPageH2SignProcessH31Body2Table6","		<td>6</td>		<td>Mottagare</td>		<td>Mottagaren tar emot meddelandet
 i vilket denne informeras om att den är inbjuden att skriva
 på dokumentet med parterna xyz och den informeras även hur den
 ska gå vidare.</td>	","		<td>6</td>		<td>Recipient</td>		<td>The recipient receives the
 message which contains an invitation to sign the document with
 the parties xyz, and information about how to proceed with the
 signing process.</td>	"
"_legalPageH2SignProcessH31Body2Table7","		<td>7</td>		<td>Mottagare</td>		<td>Då mottagaren klickar på
 länken som bifogas med e-postmeddelandet hamnar den i en vy
 på SkrivaPå där vi informerar mottagaren om att den noggrant
 bör läsa all tillgänglig information i dokumentet samt de tillhörande
 kontaktuppgifterna.</td>	","		<td>7</td>		<td>Recipient</td>		<td>When the recipient clicks
 the link in the e-mail, a view inside Scrive appears where the
 recipient is informed that it should read the document carefully,
 and the associated contact information.</td>	"
"_legalPageH2SignProcessH31Body2Table8","		<td>8</td>		<td>Mottagare</td>		<td>För att försäkra oss om
 att mottagaren har tagit del av innehållet i dokumentet måste
 mottagaren bläddra igenom hela dokumentet ned till slutet för
 att komma vidare och kunna underteckna.</td>	","		<td>8</td>		<td>Recipient</td>		<td>To ensure that the recipient
 reads the who document, it has to scroll down to the bottom
 of the document to sign.</td>	"
"_legalPageH2SignProcessH31Body2Table9","		<td>9</td>		<td>Mottagare</td>		<td>När mottagaren bläddrat
 ned genom hela dokumentet till slutet och med största sannolikt
 noterat att den bläddrar genom ett dokument kan mottagaren slutligen
 klicka i en knapp med texten ”Underteckna”.</td>	","		<td>9</td>		<td>Recipient</td>		<td>When the recipient has
 scrolled through the whole document, and most likely noted that
 he is scrolling through a document, he clicks a button with
 the text ""Sign"" if he wants to sign.</td>	"
"_legalPageH2SignProcessH31Body2TableHead","		<th>Steg</th>		<th>Användare</th>		<th>Juridisk orsak</th>	","		<th>Step</th>		<th>User</th>		<th>Legal reason</th>	"
"_legalPageH2SignProcessH31Body3","Efter de sex steg med vilka avsändaren (steg 1-5 och 12) och
 mottagaren (6-12) vardera informeras om att de använder en tjänst
 för att skriva på ett dokument bör med all rimlighet parterna
 ska vara införstådda i:","After six steps through which the sender (step 1-5 and 12) and
 the recipient (step 6-12), each are informed that they are using
 a service to sign a document, they should reasonably understand:"
"_legalPageH2SignProcessH31Body4","	<li>Att det rör sig om en tjänst för att skriva på ett juridiskt
 bindande dokument.</li>	<li>Innehållet i dokumentet som de skriver
 på.</li>	<li>Att de endast får skriva på dokumentet under förutsättning
 att de är rätt person.</li>","	<li>That they are signing a legally binding document.</li>	<li>The
 contents of the document they are signing.</li>	<li>That they
 may only sing the document if they are the right person to do
 so.</li>"
"_legalPageMetaDescription","Signera och arkivera dina avtal elektroniskt. Välj mellan olika
 verifikationsmetoder – behåll högsta möjliga juridiska säkerhet
 och användarvänlighet.","Sign and store contracts electronically. Choose between different
 methods of verification – obtain the highest possible legal
 security and usability."
"_legalPageTitle","| Juridik","| Legal"
