"!Template name","LANG_SV","LANG_EN"
"_code","sv","en"
"_mailNewAccountCreatedByAdminContentHeaderBodySecond","Scrive är en tjänst som gör det möjligt att e-signera dokument online istället för att krångla med papper, penna, scanner, fax mm. Lika juridiskt bindande men mycket smidigare för samtliga parter. Aktivera ditt konto och du kan börja e-signera direkt. Dina motparter behöver inte ha Scrive för att ta emot och signera dokument som du skickat genom Scrive.","Scrive is a service that allows you to e-sign documents online instead of fumbling with paper, pen, scanner and fax-machines. It's legally binding, secure and simple for all parties involved. Activate your account and you can start signing right away. Your counterparts are not required to have Scrive to receive and sign documents sent using Scrive."
"_mailNewAccountCreatedByAdminContentUserName","Användarnamn:","Username:"
"_mailNewAccountCreatedByAdminTitle","Vänligen aktivera ditt konto","Please activate your account"
"_mailRejectMailContentRejected","<strong>$rejectorName$</strong> har avvisat att signera dokumentet <strong>$documenttitle$</strong>. Signeringsprocessen har därför avbrutits av Scrives system. Vänligen <a href=""$ctxhostpart$$loginlink$"">logga in</a> på ditt konto för att editera och starta om processen.","<strong>$rejectorName$</strong> has rejected to sign the document <strong>$documenttitle$</strong>. The signing process has therefore been cancelled by the Scrive system. Please <a href=""$ctxhostpart$$loginlink$"">log in</a> to your account to edit and restart the process."
"_mailRejectMailTitleContract","Avvisat avtal: $documenttitle$","Rejected contract: $documenttitle$"
"_modalAccountSetupBodyAccept","Jag har läst och accepterar ","I have read and accept the "
"_modalAccountSetupBodyTOS","Allmänna Villkor","Terms of Service"
"_modalAccountSetupChoosePassword","Välj lösenord","Choose password"
"_modalAccountSetupFooter","Skapa konto!","Create account!"
"_modalAccountSetupRepeatPassword","Upprepa lösenord","Repeat password"
"_modalAccountSetupCompany","Företag","Company"
"_modalAccountPasswordRequirements","Minimum 8 tecken. Minst en bokstav och en siffra.","Minimum 8 characters. At least one letter and one number."
"_modalDoYouWantToBeCompanyAccountBody","Vill du konvertera ditt privata Scrive konto till ett $companyname$ Scrive-konto? När du konverterar kommer ägarskapet av kontot och dess samtliga dokument att överföras till $companyname$.","Do you want to convert your private Scrive account into a $companyname$ Scrive account? When you convert, the ownership of the account and all its documents, will be transferred to $companyname$."
"_modalDoYouWantToBeCompanyAccountFooterAccept","Acceptera","Accept"
"_modalDoYouWantToBeCompanyAccountHeader","Vänligen bekräfta","Account confirmation"
"_modalNewPasswordViewFooterSave","Spara","Save"
"_modalNewPasswordViewHeader","Nytt Lösenord","New password"
"_modalNewPasswordViewNewPassword","Nytt lösenord","New password"
"_modalNewPasswordViewRepeatPassword","Upprepa lösenord","Repeat password"
"_name","Namn","Name"
"_nameFieldName","namn","name"
"_newUserMailContentBodyFirst","Du har skapat ett konto för e-signering. Klicka på knappen för att aktivera ditt konto.","You have created an account for e-signing. Press the button to activate your account."
"_newUserMailTitle","Vänligen aktivera ditt konto","Please activate your account"
"_noBankIdInstalled","Du har inte BankID installerat. Du kan ladda ned BankID från din internetbank. Följande banker tillhandahåller BankID via internetbanken.","You do not have BankID installed on your computer. You can download BankID from your online bank. The following banks can proide you with BankID online."
"_noNordeaInstalled","Du har inte Nordeas e-legitimation installerad. Du kan ladda ned Nordeas e-legitimation från Nordeas internetbank.","You do not have Nordea e-ID installed on your computer. You can download Nordea e-legitimation from Nordea online bank."
"_noTeliaInstalled","Du har inte Telias e-legitimation installerad.","You do not have Telia e-ID installed on your computer."
"_listcanceledflashmessagesuccess","Valda dokument har återkallats.","Selected documents have been withdrawn."
"_listcancelbuttontext","Återkalla","Withdraw"
"_listcancelbody","Är du säker på att du vill återkalla de valda dokumenten?","Are you sure you want to withdraw selected documents?"
"_ok","OK","OK"
"_verificationFooter","Detta verifikat är utfärdat av Scrive. Kursiverad information är säkert verifierad. Tidsstämpeln säkerställer att dokumentets äkthet går att bevisa matematiskt och oberoende av Scrive. För mer information se den juridiska bilagan (använd en PDF-läsare som kan visa dolda bilagor). För er bekvämlighet tillhandahåller Scrive även en tjänst för att kontrollera dokumentets äkthet automatiskt på: https://scrive.com/verify","This verification was issued by Scrive. Information in italics has been safely verified by Scrive. The time stamp ensures that the originality of this document can be proven mathematically and independently of Scrive. For more information see the legal attachment (use a PDF-reader that can show concealed attachments). For your convenience Scrive also provides a service that enables you to automatically verify the document's originality at: https://scrive.com/verify"
"_orgnumber","Org. nr","Company reg. no."
"_pageAttachmentAttachments","BILAGOR:","ATTACHMENTS:"
"_pageAttachmentListNewAttachment","Ny Bilaga","New attachment"
"_pageAttachmentListSearchInfo","Sök dokument","Search document"
"_pageAttachmentListShare","Dela","Share"
"_pageDocumentForAuthorHelpersLocalDialogsAddAttachment","Lägg till bilaga","Add attachment"
"_pageDocumentForAuthorHelpersLocalDialogsAttachmentdesc","Beskrivning","Description"
"_pageDocumentForAuthorHelpersLocalDialogsAttachmentname","Bilaga","Attachment"
"_pageDocumentForAuthorHelpersLocalDialogsAttachmentsigs","Begär från","Request from"
"_pageDocumentForAuthorHelpersLocalDialogsHead","Begär bilaga","Request attachment"
"_pageDocumentForSignContentElegBody1","Har du ingen e-legitimation? Du kan ladda ned en            e-legitimation från din internetbank eller från              Telia.","No e-ID? You can download an e-ID from your online bank or from Telia."
"_pageDocumentForSignContentElegBody2ClickHere","Klicka här","Click here"
"_pageDocumentForSignContentElegBody3","för att läsa mer.","to read more"
"_pageDocumentForSignContentElegSubhead","Välj typ av e-legitimation","Select type of e-ID"
"_pageDocumentForSignContentRejectFooterOwnMessage","Skriv eget meddelande","Write own message"
"_pageDocumentForSignContentRejectFooterReject","Avvisa","Rejected"
"_pageFooterExplore","Utforska","Explore"
"_pageFooterAPI","Scrive API","Scrive API"
"_pageFooterLabs","Scrive labs","Scrive labs"
"_pageFooterBlog","Scrive blogg","Scrive blog"
"_pageFooterWork","Jobba hos Scrive","Work at Scrive"
"_pageFooterTerms","Villkor och policys","Terms and policies"
"_pageFooterTOS","Allmänna villkor","Terms of service"
"_pageFooterEnvironmentalPolicy","Miljöpolicy","Environmental policy"
"_pageFooterPrivacyPolicy","Sekretesspolicy","Privacy policy"
"_pageFooterContact","Kontakta oss","Contact us"
"_pageFooterWorkDay","Vardagar 09-17","Weekdays 09-17"
"_pageFooterPhone","+46 8 519 779 00","+46 8 519 779 00"
"_pageFooterMail","info@scrive.com","info@scrive.com"
"_pageFooterAddress","Adress","Address"
"_pageFooterAddress1","Scrive AB","Scrive AB"
"_pageFooterAddress2","Sveavägen 52","Sveavägen 52"
"_pageFooterAddress3","111 34 Stockholm","111 34 Stockholm"
"_pageFooterAddress4","Sweden","Sweden"
"_password","Lösenord","Password"
"_passwordChangeLinkMailContentBody","Du har begärt att byta ditt lösenord för ditt konto. Vänligen klicka på länken för att fortsätta. Länken är giltig i 12 timmar:","We have received a request to reset the password for your Scrive account ($personemail$). To reset your password, click on the link below. This link is valid for 12 hours:"
"_passwordChangeLinkMailContentBody2","Om det inte var du som begärde ändringen kan du ignorera detta mail.","If you did not request a password change, please ignore this email."
"_passwordChangeLinkMailTitle","Nytt lösenord","New password"
"_passwordChangeLinkButtonLabel","Ändra lösenord","Change password"
"_passwordFieldName","lösenord","password"
"_personnumber","Pers.nr.","SSN"
"_phone","Telefon","Phone"
"_placeFieldName","placera","place"
"_remindMailNotSignedTitleContract","Påminnelse att e-signera avtal: $documenttitle$","Reminder to e-sign contract: $documenttitle$"
"_remindMailSignedContractStandardHeaderSendRequest","Du har tidigare signerat dokumentet <strong>$documenttitle$</strong> genom e-signeringstjänsten Scrive. <strong>$author$</strong> har begärt att vi ska skicka dokumentet <strong>$documenttitle$</strong> till dig på nytt.","You have previously signed the document <strong>$documenttitle$</strong> through the Scrive service. <strong>$author$</strong> has requested we resend the document <strong>$documenttitle$</strong> to you."
"_remindMailSignedContractStandardHeaderSendRequest2","Dokumentet är bifogat med detta mail.","Please find the document attached."
"_reminderFormFooterOwnMessage","Skriv ett eget meddelande","Write your own message"
"_reminderFormHead","Skicka påminnelse","Send reminder"
"_reminderFormSendReminder","Skicka påminnelse","Send reminder"
"_restore","Återställ","Restore"
"_save","Spara","Save"
"_sign","Signera","Sign"
"_searchBoxButtonText","Sök","Search"
"_send","Skicka","Send"
"_sendReminder","Skicka påminnelse","Send reminder"
"_setAllFields","Var vänlig namnge alla skapade fält","Please name all created fields"
"_share","Dela","Share"
"_shared","Delad","Shared"
"_bankidInvalidParameters","Ogiltigt personnummer","Invalid personal ID number"
"_bankidInternalError","Tekniskt fel. Vänligen försök igen.","Technical error. Please try again."
"_bankidUnknownUser","Den e-legitimation du valde går inte att använda. Välj att använda en annan e-legitimation eller kontakta din bank för att beställa ett nytt.","The e-ID you chose cannot be used. Choose to use a different e-ID or contact your bank to order a new e-ID."
"_bankidExpiredTransaction","Inget svar från din mobila enhet. Kontrollera att du har startat appen för mobilt BankID och att du har täckning, följ sedan instruktionerna i din mobila enhet och försök igen.","No reply from your mobile device. Check that you have started the app for mobile BankID and that you have connection, then follow the instructions in your mobile device and try again. "
"_bankidInvalidDevices","Det har inträffat ett internt tekniskt fel. Uppdatera din BankID säkerhetsapp och försök igen.","An internal technical error has occured. Update your app for mobile BankID and try again."
"_bankidAlreadyInProgress","En inloggning för det här personnumret är redan påbörjad, tryck avbryt i ""appen"" för mobilt BankID och försök igen.","A login for this ID number is already in progress, press ""cancel"" in the app for mobile BankID and try again."
"_bankidUserCancel","Åtgärden avbruten","Operation aborted"
"_bankidEnterCode","Vänligen skriv in säkerhetskoden i din app för mobilt BankID.","Please enter the security code to your app for mobile BankID."
"_bankidStartApp","Starta din säkerhetsapp för mobilt BankID.","Start your application for mobile BankID."
"_bankidPersInfoMismatch","Dina personuppgifter matchade inte informationen från e-legitimationsservern","Your personal details did not match information from the e-ID server"
"_bankidVerificationFailed","E-legitimationstjänsten misslyckades att verifiera din signatur","The e-ID service provider failed to verify your signature."
"_bankidNameMismatch","Namnet matchar inte","Name does not match"
"_bankidNoNumber","Du har inte fyllt i personnnummer. Vänligen försök igen.","You have not typed in the personal ID number. Please try again."
"_bankidNumberMismatch","Personnnumren matchar inte","The personal ID numbers do not match"
"_signMethodEleg","e-legitimation","e-ID"
"_signMethodElegBankID","BankID","BankID"
"_signMethodElegNordea","Nordea e-legitimation","Nordea e-ID"
"_signMethodElegTelia","Telia e-legitimation","Telia e-ID"
"_signMethodEmail","e-post","email"
"_signMethodPad","personligt möte","in person meeting"
"_signMethodAPI","API","API"
"_signMethodMobile","SMS","SMS"
"_signMethodEmailAndMobile","e-post/SMS","email/SMS"
"_onlyPDF","OBS! Endast PDF","PDF only!"
"_signStepsBodyUploadBoxStepButtonChooseFile","Välj en PDF-fil","Open a PDF file"
"_signStepsMenuEmptyStepSaveAsTemplate","Spara som mall","Save as template"
"_signViewNotsignedbymeAttachmentBoxHead","Bilagor","Attachments"
"_signViewSigAttachmentBoxChooseFile","Välj PDF-fil","Select PDF file"
"_signatoryMessageOpenedViewer","Granskat online<br/>(som icke-signerande part)","Reviewed online<br/>(as viewer)"
"_signatoryMessageWaiting","Väntar på föregående signaturer","Waiting for prior signatures"
"_signatoryMessageSentViewer","Skickat<br/>(för granskning)","Sent<br/>(for viewing)"
"_signatoryMessageIfElse","Skickat","Sent"
"_signatoryMessageIfSignatoryDatamismatch","Felaktig e-legitmation","Incorrect e-ID"
"_signatoryMessageIfSignatoryDeliveredEmail","Levererat","Delivered"
"_signatoryMessageIfSignatoryReaddate","Läst e-post","Email read"
"_signatoryMessageIfSignatoryRejected","Avvisat","Rejected"
"_signatoryMessageIfSignatorySeendate","Granskat online","Reviewed online"
"_signatoryMessageIfTimedout","Förfallodatum har passerat","Expired"
"_signatoryMessageIfSigned","Signerat","Signed"
"_signatoryMessageIfCancelled","Avbrutet","Cancelled"
"_startingSaveSigning","Inleder säker signering . . .","Initiates secure signing . . ."
"_tablestatusesCancelled","Avbrutet","Cancelled"
"_tablestatusesDelivered","Levererat","Delivered"
"_tablestatusesDraft","Utkast","Draft"
"_tablestatusesEmailOpened","Läst e-post","Email read"
"_tablestatusesSent","Skickat","Sent"
"_tablestatusesSigned","Signerat","Signed"
"_tablestatusesViewedOnline","Granskat online","Reviewed online"
"_tbsGenerationMessage1","Du signerar","You are signing"
"_tbsGenerationMessage2","med transaktionsnummer","with transactional number"
"_tbsGenerationMessage3",". Signerande parter är:",". Signing parties are:"
"_tbsYouSignWithEleg","Du signerar ""$documentname$"" med transaktionsnummer ""$documentnumber$"". Signerande parter är:$tbssigentries$","You are signing  ""$documentname$"" with transactional number ""$documentnumber$"". The signing parties are: $tbssigentries$"
"_tooltipcancelled","Återkallat","Withdrawn"
"_tooltipdelivered","Levererat","Delivered"
"_tooltipdraft","Utkast","Draft"
"_tooltipopened","Granskat online","Reviewed online"
"_tooltipread","Läst e-post","Email read"
"_tooltipreviewed","Granskat online","Reviewed online"
"_tooltipsent","Skickat","Sent"
"_tooltipsigned","Signerat","Signed"
"_tooltiprejected","Avvisat","Rejected"
"_tooltipdeliveryproblem","Leveransproblem","Delivery problem"
"_tooltiptimedout","Förfallet","Timed-out"
"_tooltiperror","Error","Error"
"_selectFilesYouWantToUpload","Välj filerna du vill ladda upp","Select the files you would like to upload"
"_updateAttachmentsDialogChooseAttachment","Välj de bilagor du vill bifoga","Select the files you want to attach"
"_updateAttachmentsDialogHead","Välj bilagor","Add attachments"
"_updateAttachmentsDialogUpLoadChooseAttachment","Välj bilaga","Select attachment"
"_updateAttachmentsDialogChooseFromScrive","Välj hos Scrive","Browse my Scrive documents"
"_updateAttachmentsDialogUpLoadChooseFile","Välj fil (Endast PDF)","Select file (PDF only)"
"_updateAttachmentsDialogUpLoadSaved","Sparad hos Scrive","Stored in Scrive"
"_verifyingSignature","Verifierar signatur...","Verifying signature..."
"_you","du","you"
"_yourSigningPluginFailed","Din signerings-plugin misslyckades med att signera dokumentet. Var vänlig och kontakta din e-legitimationsleverantör.","Your signing plug-in failed to sign the document. Please contact your e-ID provider."
"_zip","Postnummer","Zip"
"_poweredByScrive","E-signing powered by Scrive","E-signing powered by Scrive"
"_createCompany","Skapa företag","Create Company"
"_createCompanyExplanation","När ett företag är skapat kommer du att bli en administratör och kommer kunna bjuda in dina kollegor till underkonton.","When a company is created you will be made an admin user and will be able to invite your colleagues to join you."
"_createCompanyFormPreamble","För att skapa ett företag vänligen fyll i följande information:","To create a company please complete the following information:"
"_modalUserSignupDoneHeader","Ditt konto har skapats!  Kolla din email för att gå vidare.","Your account has been created!  Please check your email to continue."
"_modalAddCompanyAccountTitle","Nytt konto","New account"
"_modalAddCompanyAccountBody","Bjud in någon ny eller be en befintlig Scrive-användare att ansluta ditt företag.","Invite someone new or ask an existing Scrive user to join your company."
"_modalAddCompanyAccountInviteButtonText","Bjud in","Invite"
"_newCompanyAccountButtonText","Nytt konto","New account"
"_onlyFileWithTypeAllowed1","Beklagar, vi accepterar endast ","Sorry, only "
"_onlyFileWithTypeAllowed2",". Vänligen välj en annan fil."," uploads are allowed. Please try another file."
"_fileTooLarge","Filen du valt överstiger vår maxgräns på 4 MB. Vänligen försök med en mindre fil.","The file you have chosen superseeds our max limit of 4 MB. Please try a smaller file."
"_couldNotUpload","Vi beklagar, filen kunde inte laddas upp. Vänligen försök igen eller med en annan fil.","Sorry, the file could not be uploaded. Please try again or with a different file."
"_flashCompanyAccountInviteSent","En inbjudan har skickats.","An invitation has been sent."
"_flashCompanyAccountInviteNotSent","Du kan inte bjuda in denna användare eftersom den redan är registerad på ett annat företag. Vänligen kontakta Scrive om du vill slå ihop konton för två företag.","Sorry, you are not able to send an invite to this user because they are registered to a different company. Please contact Scrive if you want to merge the accounts of two companies."
"_flashCompanyAccountInviteResent","Din inbjudan har skickats igen.","The invitation has been sent again."
"_flashCompanyInviteNotSentSameCompany","Användaren finns redan i ditt företag.","This user is already in your company."
"_role","Role","Role"
"_admin","Admin","Admin"
"_list","Lista","List"
"_standard","Standard","Standard"
"_modalResendCompanyAccountInviteHeader","Skicka inbjudan igen","Resend Invite"
"_modalResendCompanyAccountInviteBody","Vänligen bekräfta att du vill skicka om inbjudan till","Please confirm that you would like to resend an invitation to"
"_modalResendCompanyAccountInviteConfirm","Skicka","Send"
"_pendingcompanyaccount","Väntar","Pending"
"_changeEmail","Ändra e-post","Change email"
"_changePhone","Ändra mobilnummer","Change phone number"
"_changeEmailRequestExplanation","Din e-post och ditt användarnamn är samma i Scrive. Genom att ändra e-post kommer du också att ändra ditt användarnamn vid inloggning.  För att bekräfta din nya adress skickar vi ett bekräftelsemail. Vänligen följ instruktionerna för att fullfölja ändringen.","Your email and user name are the same in Scrive. By changing the email you will also change the username for logging in. To verify your new address we will send you a confirmation mail. Please follow the instructions in the email to complete the change."
"_newemail","Ny e-post:","New email address:"
"_newemailagain","Bekräfta ny e-post:","Confirm new email address:"
"_changeEmailRequestTitle","Ändra användarnamn och e-post","Change username and email"
"_changeEmailRequestAcceptText","Ändra","Change"
"_changeEmailRequestButtonText","Ändra","Change"
"_mailRequestChangeEmailTitle","Ändring av användarnamn","Change of username"
"_mailRequestChangeEmailExplanation","Du har begärt att få ändra ditt användarnamn och din e-post hos Scrive till $newemail$. Vänligen klicka på länken för att fullfölja ändringen:","You have requested that your Scrive username and email be changed to $newemail$. To complete this change, click on the link below:"
"_flashMessageChangeEmailMailSent1","Vi har mailat en bekräftelselänk till ","We have mailed a confirmation link to "
"_flashMessageChangeEmailMailSent2",". Vänligen följ instruktionerna för att fullborda ändringen.",", please follow to complete the change."
"_flashMessageMismatchedEmails","E-postadresserna matchar inte.","The emails you entered do not match."
"_flashMessageProblemWithEmailChange","Vi kan tyvärr inte genomföra ändringen. Din länk kanske blivit gammal? Vänligen gör ny förfrågan.","We're unable to complete this change. Perhaps your link has expired? Please request again."
"_flashMessageYourEmailHasChanged","Ditt användarnamn och din e-post har nu ändrats.","Your username and email have been successfully changed."
"_modalDoYouWantToChangeEmailHeader","Bekräfta ändring av användarnamn","Confirm username change"
"_modalDoYouWantToChangeEmailBody","Vänligen fyll i ditt lösenord för att fullfölja ändringen av både användarnamn och e-post till $newemail$.","Please enter your password to complete the change of both your username and email to $newemail$."
"_flashMessageProblemWithPassword","Felaktig lösenord.","Incorrect password."
"_HeadUsageStats","Statistik","Usage stats"
"_last30Days","Senaste 30 dagarna","Past 30 days"
"_last6Months","Senaste 6 månaderna","Past 6 months"
"_usageStatsDate","Datum","Date"
"_closedDocuments","Stängda dokument ","Closed documents"
"_sentDocuments","Skickade dokument ","Sent documents"
"_closedSignatures","Stängda signaturer ","Closed signatures"
"_usageStatsMonth","Månad","Month"
"_statsOrgTotal","Totalt för organisationen","Organisation total"
"_statsSender","Avsändare","Sender"
"_contractauthorname","Ej signerande mottagare","Non-signing recipient"
"_contractauthorsignatoryname","Part","Party"
"_contractsignatoryname","Part","Party"
"_contractnonsignatoryname","Ej signerande mottagare","Non-signing recipient"
"_to"," till "," to "
"_signaturePlaceFor","signerar här","will sign here"
"_signaturePlaceYour","Klicka här för att rita signatur","Click here to draw signature"
"_signaturePlaceYourTip","Klicka här","Click here"
"_selectFileToUpload","Välj på datorn","Browse my computer"
"_PasswordValidationMessageInputExceedsMaxLength","Lösenord får innehålla max 250 tecken.","Password must contain max 250 characters."
"_PasswordValidationMessageInputLessThanMinLength","Lösenordet måste vara minst 8 tecken samt innehålla åtminstone en bokstav och en siffra","Password must contain at least 8 characters and contain at least one letter and one digit."
"_PasswordValidationMessageNeedsLetterAndDigit","Lösenordet måste vara minst 8 tecken samt innehålla åtminstone en bokstav och en siffra","Password must contain at least 8 characters and contain at least one letter and one digit."
"_PasswordValidationMessagePasswordsDontMatch","Lösenorden matchar inte","The passwords do not match."
"_modalAccountSetupPhone","Telefon","Phone"
"_modalAccountSetupPosition","Befattning","Position"
"_waitingForSignature","Väntar på signatur","Waiting for signature"
"_followArrowToSign","Följ den <span class='highlight-green'>gröna pilen</span> för att e-signera","Follow the <span class='highlight-green'>green arrow</span> to e-sign"
"_goBack","Gå tillbaka","Go back"
"_reviewDocument","Dokument för granskning","Document for review"
"_signedNotClosed","Du har signerat","You have signed"
"_signedNotClosedSubText","När alla har signerat kommer dokumentet skickas till din angivna e-postadress.","When every party has signed the finalised document will be sent to your email."
"_signedAndClosed","Dokument signerat!","Document signed!"
"_signedAndClosedSubText","Dokumentet med registrerad signeringshistorik har skickats till din inkorg.","The document with registered signing history has been sent to your inbox."
"_unavailableForSign","Dokumentet går ej längre att signera","The document is no longer available for signing"
"_dueDate","Förfallodatum ","Due date "
"_showDetails","Visa mer","Show more"
"_companyNumberLabel","Org.nr","Org.nr"
"_personalNumberLabel","Pers.nr","Pers.nr"
"_signViewAuthorAttachmentsTitleForOne","Granska bilaga","Read attachment"
"_signViewAuthorAttachmentsTitleForLots","Granska bilagor","Read attachments"
"_signViewSignatoryAttachmentsTitleForOne","Ladda upp bilaga","Upload attachment"
"_signViewSignatoryAttachmentsTitleForLots","Ladda upp bilagor","Upload attachments"
"_signViewSignatoriesTitle","Granska parter","Review parties"
"_signOrRejectTitle","Välj att signera eller förkasta dokumentet","Choose to either sign or reject the document"
"_onlySignTitle","Signera dokumentet","Sign the document"
"_january","januari","January"
"_february","februari","February"
"_march","mars","March"
"_april","april","April"
"_may","maj","May"
"_june","juni","June"
"_july","juli","July"
"_august","augusti","August"
"_september","september","September"
"_october","oktober","October"
"_november","november","November"
"_december","december","December"
"_signatureConfirm","Placera signatur","Apply signature"
"_padDelivery","Personligt möte","In person delivery"
"_padSigningOnSameDevice","Signera på denna enhet","Give for signing on this device"
"_reminderByMobileQuestion","Vill du skicka en påminnelse via SMS?","Do you want to send a reminder by through a mobile text message?"
"_reminderByEmailMobileQuestion","Vill du skicka en påminnelse via e-post och SMS?","Do you want to send a reminder via email and SMS"
"_smsClosedNotification","Dokumentet har nu signerats. Hitta dokumentet genom att följa denna länk: $link$$if(withEmail)$. Vi har också skickat det signerade dokumentet till din epost.$endif$","The document has now been signed. Find the document by following this link: $link$$if(withEmail)$. We have also sent the signed document to your email inbox.$endif$"
"_smsCorrectedNotification","Vi har noterat att ett dokument vi tidigare skickade till dig var felaktigt och saknade digital signatur, men vi har nu åtgärdat felet. Hitta dokumentet med korrekt digital signatur genom att följa denna länk: $link$$if(withEmail)$. Vi har också skickat det korrigerade dokumentet till din epost.$endif$","We noticed that we previously sent you a document that was incorrect in that it lacked a digital signature, but we have now corrected this error. Find the document with proper digital signature by following this link: $link$$if(withEmail)$. We have also sent the corrected document to your email inbox.$endif$"
"_smsInvitationToAuthor","Hej $personname$, det är din tur att signera dokumentet $documenttitle$. Öppna länken för att granska dokumentet: $link$","It is your turn to sign the document $documenttitle$. Open the link to review the document: $link$"
"_smsInvitationToSign","Hej, $creatorname$ har bjudit in dig att e-signera. Klicka här för att starta: $link$","Hi, $creatorname$ has invited you to e-sign. Click here to start: $link$"
"_smsInvitationToView","Hej $personname$, ett dokument kommer att e-signeras av $partylist$. $creatorname$ har bjudit in dig som observatör till signeringsförfarandet. Öppna länken för att läsa dokumentet: $link$","Hi $personname$, a document is about to be e-signed by $partylist$. You have been invited by $creatorname$ as an observer to the signing procedure. Open the link to read the document: $link$"
"_smsMismatchAuthor","Vissa uppgifter som du uppgett om personen $badname$ matchar inte e-legitimationen de signerat med. Därmed har Scrive avbrutit signeringsprocessen. Öppna länken för att korrigera uppgifterna och skicka en ny inbjudan att signera: $link$", "Some of the information provided by you about $badname$ does not match the e-legitimation that they used to sign with. Therefore Scrive has cancelled the signing process. Open the link to correct the information and to send a new invitation to sign: $link$"
"_smsMismatchSignatory","Vissa uppgifter som $authorname$ uppgett om personen $badname$ matchar inte e-legitimationen de signerat med. Därmed har Scrive avbrutit signeringsprocessen. $authorname$ har informerats om problemet.", "Some of the information provided by you about $badname$ does not match the e-legitimation that they used to sign with. Therefore Scrive has cancelled the signing process. $authorname$ has been informed about the issue."
"_smsRejectNotification","Hej $personname$, $rejectorName$ har avvisat signering av dokumentet $documenttitle$. Signeringsprocessen har därmed avbrutits. Öppna länken för att se dokumentet: $link$", "Hi $personname$, $rejectorName$ has rejected to sign the document $documenttitle$. The signing process has therefore been canceled. Open the link to view the document: $link$"
"_smsReminder","Hej $personname$, detta är en påminnelse från $creatorname$ att du inte signerat dokumentet $documenttitle$ ännu. Öppna följande länk för att granska dokumentet: $link$","Hi $personname$, this is a reminder from $creatorname$ that you have not yet signed the document $documenttitle$. Open the link to review the document: $link$"
"_padSigningOnSameDevice","Signera på denna enhet","Give for signing on same device"
"_padSigningOnSameDeviceConfirmHeader","Är du säker att du vill signera på denna enhet?","Are you sure you want to sign on same device?"
"_padSigningOnSameDeviceConfirmText","Du är nu påväg att överlämna detta dokumentet för att signeras på denna enhet.","You are about to hand over this document for signing on this device?"
"_padAddToPadQueue","Signera på annan enhet","Sign on another device"
"_padAddToPadQueueConfirmHeader","Är du säker att du vill skicka detta dokument för att signera på en annan enhet?","Are you sure you want to send this document for signing on another device?"
"_padAddToPadQueueConfirmText","Dokumentet kommer att skickas till den externa enheten för signering.","Document will be send to the external device for signing."
"_padAddToPadQueueNotAdded","Dokumentet kunde inte skickas till den externa enheten.","Document could not be send to the external device"
"_padRemoveFromPadQueue","Avlägsna från signering på extern enhet","Remove from signing on external device"
"_padDrawSignatureBoxHeader","Rita din signatur i rutan","Draw your signature within the box"
"_padCleanImage","Ta bort signatur","Clear signature"
"_notFound","<h1>Sidan kunde inte hittas</h1><h4>Du kanske hamnade här därför att du skrivit fel adress eller därför att sidan har flyttats.</h4>","<h1>The page couldn't be found</h1><h4>You may have landed here because you typed in the wrong adress or because the page has been moved.</h4>"
"_internalServerError","<h1>Något gick fel</h1><h4>Om problemet kvarstår vänligen kontakta vår support på support@scrive.com eller 08-519 779 00.</h4>","<h1>Something went wrong</h1><h4>If the problem remains please contact our support at support@scrive.com or +46 8 519 779 00.</h4>"
"_afterErrorGoHome","<p class='position first'>Besök någon av dessa sidor istället:</p><p class='position'  style='height:44px;'><a class='button float-left' style='width:100px;'  href='/'>Startsidan</a><a href='#' class='button float-right' style='width:100px;' onClick='history.go(-1);return false;'>Bakåt</a></p>","<p class='position first'>Visit any of these pages instead:</p><p class='position' style='height:44px;'><a class='button float-left' style='width:100px;' href='/'>Homepage</a><a href='#' class='button float-right' style='width:100px;' onClick='history.go(-1);return false;'>Back</a></p>"
"_notEntered","ej ifylld","not entered"
"_contractsignatorysignmodalcontentdesignvieweleg","När <b class='unsignedpartynotcurrent'/> har signerat, kommer Scrive att försegla dokumentet och skicka det färdigställda dokumentet till din e-post","When <b class='unsignedpartynotcurrent'/> have signed, Scrive will seal the document from further editing and send the sealed version to your email."
"_showAnyStatusClass","Alla statusar","All statuses"
"_contractsignatorysignmodalcontentauthoronly","När du signerat dokumentet <strong class='documenttitle'>$documenttitle$</strong> kommer din signatur att registreras av e-signeringstjänsten Scrive.","When you've signed the document <strong class='documenttitle'>$documenttitle$</strong> your signature will be registered by the e-signing service Scrive."
"_missingPlacedAuthorFieldValue","Alla avsändarens fält måste vara ifyllda.","All author fields must be filled."
"_checkboxPleaseCheck","Kryssa i där","Check there"
"_checkboxPrechecked","Förikryssad","Pre-checked"
"_checkboxObligatory","Obligatorisk att kryssa i","Mandatory to check"
"_checkboxCheckbox","Inställningar för kryssruta","Checkbox settings"
"_checkboxFor","Part ","Party "
"_checkboxDone","Spara","Save"
"_textFieldObligatory","Obligatoriskt att signera här","Mandatory to sign here"
"_textField","Inställningar för textfält","Text field settings"
"_textFieldFor","Part ","Party "
"_textFieldDone","Spara","Save"
"_verificationTitle","Verifiera signatur","Verify signature"
"_verificationDescription","Du kan kontrollera att dokumentet du har har en giltig digital signatur<br/>genom att ladda upp dokumentet här.","You can check if the file that you have has a valid digital signature by uploading the document here."
"_documentSentBy","Skickat av $author$","Sent by $author$"
"_numberOfPagesIs1","1 sida","1 page"
